block_group_id,ocean_proximity
144,NEAR BAY
145,NEAR BAY
146,NEAR BAY
147,NEAR BAY
148,NEAR BAY
149,NEAR BAY
150,NEAR BAY
151,NEAR BAY
152,NEAR BAY
153,NEAR BAY
154,NEAR BAY
155,NEAR BAY
156,NEAR BAY
157,NEAR BAY
158,NEAR BAY
159,NEAR BAY
160,NEAR BAY
161,NEAR BAY
162,NEAR BAY
163,NEAR BAY
164,NEAR BAY
165,NEAR BAY
166,NEAR BAY
167,NEAR BAY
168,NEAR BAY
169,NEAR BAY
170,NEAR BAY
171,NEAR BAY
172,NEAR BAY
173,NEAR BAY
174,NEAR BAY
175,NEAR BAY
176,NEAR BAY
177,NEAR BAY
178,NEAR BAY
179,NEAR BAY
180,NEAR BAY
181,NEAR BAY
182,NEAR BAY
183,NEAR BAY
184,NEAR BAY
185,NEAR BAY
186,NEAR BAY
187,NEAR BAY
188,NEAR BAY
189,NEAR BAY
190,NEAR BAY
191,NEAR BAY
192,NEAR BAY
193,NEAR BAY
194,NEAR BAY
195,NEAR BAY
196,NEAR BAY
197,NEAR BAY
198,NEAR BAY
199,NEAR BAY
200,NEAR BAY
201,NEAR BAY
202,NEAR BAY
203,NEAR BAY
204,NEAR BAY
205,NEAR BAY
206,NEAR BAY
207,NEAR BAY
208,NEAR BAY
209,NEAR BAY
210,NEAR BAY
211,NEAR BAY
212,NEAR BAY
213,NEAR BAY
214,NEAR BAY
215,NEAR BAY
216,NEAR BAY
217,NEAR BAY
218,NEAR BAY
219,NEAR BAY
220,NEAR BAY
221,NEAR BAY
222,NEAR BAY
223,NEAR BAY
224,NEAR BAY
225,NEAR BAY
226,NEAR BAY
227,NEAR BAY
228,NEAR BAY
229,NEAR BAY
230,NEAR BAY
231,NEAR BAY
232,NEAR BAY
233,NEAR BAY
234,NEAR BAY
235,NEAR BAY
236,NEAR BAY
237,NEAR BAY
238,NEAR BAY
239,NEAR BAY
240,NEAR BAY
241,NEAR BAY
242,NEAR BAY
243,NEAR BAY
244,NEAR BAY
245,NEAR BAY
246,NEAR BAY
247,NEAR BAY
248,NEAR BAY
249,NEAR BAY
250,NEAR BAY
251,NEAR BAY
252,NEAR BAY
253,NEAR BAY
254,NEAR BAY
255,NEAR BAY
256,NEAR BAY
257,NEAR BAY
258,NEAR BAY
259,NEAR BAY
260,NEAR BAY
261,NEAR BAY
262,NEAR BAY
263,NEAR BAY
264,NEAR BAY
265,NEAR BAY
266,NEAR BAY
267,NEAR BAY
268,NEAR BAY
269,NEAR BAY
270,NEAR BAY
271,NEAR BAY
272,NEAR BAY
273,NEAR BAY
274,NEAR BAY
275,NEAR BAY
276,NEAR BAY
277,NEAR BAY
278,NEAR BAY
279,NEAR BAY
280,NEAR BAY
281,NEAR BAY
282,NEAR BAY
283,NEAR BAY
284,NEAR BAY
285,NEAR BAY
286,NEAR BAY
287,NEAR BAY
288,NEAR BAY
289,NEAR BAY
290,NEAR BAY
291,NEAR BAY
292,NEAR BAY
293,NEAR BAY
294,NEAR BAY
295,NEAR BAY
296,NEAR BAY
297,NEAR BAY
298,NEAR BAY
299,NEAR BAY
300,NEAR BAY
301,NEAR BAY
302,NEAR BAY
303,NEAR BAY
304,NEAR BAY
305,NEAR BAY
306,NEAR BAY
307,NEAR BAY
308,NEAR BAY
309,NEAR BAY
310,NEAR BAY
311,NEAR BAY
312,NEAR BAY
313,NEAR BAY
314,NEAR BAY
315,NEAR BAY
316,NEAR BAY
317,NEAR BAY
318,NEAR BAY
319,NEAR BAY
320,NEAR BAY
321,NEAR BAY
322,NEAR BAY
323,NEAR BAY
324,NEAR BAY
325,NEAR BAY
326,NEAR BAY
327,NEAR BAY
328,NEAR BAY
329,NEAR BAY
330,NEAR BAY
331,NEAR BAY
332,NEAR BAY
333,NEAR BAY
334,NEAR BAY
335,NEAR BAY
336,NEAR BAY
337,NEAR BAY
338,NEAR BAY
339,NEAR BAY
340,NEAR BAY
341,NEAR BAY
342,NEAR BAY
343,NEAR BAY
344,NEAR BAY
345,NEAR BAY
346,NEAR BAY
347,NEAR BAY
348,NEAR BAY
349,NEAR BAY
350,NEAR BAY
351,NEAR BAY
352,NEAR BAY
353,NEAR BAY
354,NEAR BAY
355,NEAR BAY
356,NEAR BAY
357,NEAR BAY
358,NEAR BAY
359,NEAR BAY
360,NEAR BAY
361,NEAR BAY
362,NEAR BAY
363,NEAR BAY
364,NEAR BAY
365,NEAR BAY
366,NEAR BAY
367,NEAR BAY
368,NEAR BAY
369,NEAR BAY
370,NEAR BAY
371,NEAR BAY
372,NEAR BAY
373,NEAR BAY
374,NEAR BAY
375,NEAR BAY
376,NEAR BAY
377,NEAR BAY
378,NEAR BAY
379,NEAR BAY
380,NEAR BAY
381,NEAR BAY
382,NEAR BAY
383,NEAR BAY
384,NEAR BAY
385,NEAR BAY
386,NEAR BAY
387,NEAR BAY
388,NEAR BAY
389,NEAR BAY
390,NEAR BAY
391,NEAR BAY
392,NEAR BAY
393,NEAR BAY
394,NEAR BAY
395,NEAR BAY
396,NEAR BAY
397,NEAR BAY
398,NEAR BAY
399,NEAR BAY
400,NEAR BAY
401,NEAR BAY
402,NEAR BAY
403,NEAR BAY
404,NEAR BAY
405,NEAR BAY
406,NEAR BAY
407,NEAR BAY
408,NEAR BAY
409,NEAR BAY
410,NEAR BAY
411,NEAR BAY
412,NEAR BAY
413,NEAR BAY
414,NEAR BAY
415,NEAR BAY
416,NEAR BAY
417,NEAR BAY
418,NEAR BAY
419,NEAR BAY
420,NEAR BAY
421,NEAR BAY
422,NEAR BAY
423,NEAR BAY
424,NEAR BAY
425,NEAR BAY
426,NEAR BAY
427,NEAR BAY
428,NEAR BAY
429,NEAR BAY
430,NEAR BAY
431,NEAR BAY
432,NEAR BAY
433,NEAR BAY
434,NEAR BAY
435,NEAR BAY
436,NEAR BAY
437,NEAR BAY
438,NEAR BAY
439,NEAR BAY
440,NEAR BAY
441,NEAR BAY
442,NEAR BAY
443,NEAR BAY
444,NEAR BAY
445,NEAR BAY
446,NEAR BAY
447,NEAR BAY
448,NEAR BAY
449,NEAR BAY
450,NEAR BAY
451,NEAR BAY
452,NEAR BAY
453,NEAR BAY
454,NEAR BAY
455,NEAR BAY
456,NEAR BAY
457,NEAR BAY
458,NEAR BAY
459,NEAR BAY
460,NEAR BAY
461,NEAR BAY
462,NEAR BAY
463,NEAR BAY
464,NEAR BAY
465,NEAR BAY
466,NEAR BAY
467,NEAR BAY
468,NEAR BAY
469,NEAR BAY
470,NEAR BAY
471,NEAR BAY
472,NEAR BAY
473,NEAR BAY
474,NEAR BAY
475,NEAR BAY
476,NEAR BAY
477,NEAR BAY
478,NEAR BAY
479,NEAR BAY
480,NEAR BAY
481,NEAR BAY
482,NEAR BAY
483,NEAR BAY
484,NEAR BAY
485,NEAR BAY
486,NEAR BAY
487,NEAR BAY
488,NEAR BAY
489,NEAR BAY
490,NEAR BAY
491,NEAR BAY
492,NEAR BAY
493,NEAR BAY
494,NEAR BAY
495,NEAR BAY
496,NEAR BAY
497,NEAR BAY
498,NEAR BAY
499,NEAR BAY
500,NEAR BAY
501,NEAR BAY
502,NEAR BAY
503,NEAR BAY
504,NEAR BAY
505,NEAR BAY
506,NEAR BAY
507,NEAR BAY
508,NEAR BAY
509,NEAR BAY
510,NEAR BAY
511,NEAR BAY
512,NEAR BAY
513,NEAR BAY
514,NEAR BAY
515,NEAR BAY
516,NEAR BAY
517,NEAR BAY
518,NEAR BAY
519,NEAR BAY
520,NEAR BAY
521,NEAR BAY
522,NEAR BAY
523,NEAR BAY
524,NEAR BAY
525,NEAR BAY
526,NEAR BAY
527,NEAR BAY
528,NEAR BAY
529,NEAR BAY
530,NEAR BAY
531,NEAR BAY
532,NEAR BAY
533,NEAR BAY
534,NEAR BAY
535,NEAR BAY
536,NEAR BAY
537,NEAR BAY
538,NEAR BAY
539,NEAR BAY
540,NEAR BAY
541,NEAR BAY
542,NEAR BAY
543,NEAR BAY
544,NEAR BAY
545,NEAR BAY
546,NEAR BAY
547,NEAR BAY
548,NEAR BAY
549,NEAR BAY
550,NEAR BAY
551,NEAR BAY
552,NEAR BAY
553,NEAR BAY
554,NEAR BAY
555,NEAR BAY
556,NEAR BAY
557,NEAR BAY
558,NEAR BAY
559,NEAR BAY
560,NEAR BAY
561,NEAR BAY
562,NEAR BAY
563,NEAR BAY
564,NEAR BAY
565,NEAR BAY
566,NEAR BAY
567,NEAR BAY
568,NEAR BAY
569,NEAR BAY
570,NEAR BAY
571,NEAR BAY
572,NEAR BAY
573,NEAR BAY
574,NEAR BAY
575,NEAR BAY
576,NEAR BAY
577,NEAR BAY
578,NEAR BAY
579,NEAR BAY
580,NEAR BAY
581,NEAR BAY
582,NEAR BAY
583,NEAR BAY
584,NEAR BAY
585,NEAR BAY
586,NEAR BAY
587,NEAR BAY
588,NEAR BAY
589,NEAR BAY
590,NEAR BAY
591,NEAR BAY
592,NEAR BAY
593,NEAR BAY
594,NEAR BAY
595,NEAR BAY
596,NEAR BAY
597,NEAR BAY
598,NEAR BAY
599,NEAR BAY
600,NEAR BAY
601,NEAR BAY
602,NEAR BAY
603,NEAR BAY
604,NEAR BAY
605,NEAR BAY
606,NEAR BAY
607,NEAR BAY
608,NEAR BAY
609,NEAR BAY
610,NEAR BAY
611,NEAR BAY
612,NEAR BAY
613,NEAR BAY
614,NEAR BAY
615,NEAR BAY
616,NEAR BAY
617,NEAR BAY
618,NEAR BAY
619,NEAR BAY
620,NEAR BAY
621,NEAR BAY
622,NEAR BAY
623,NEAR BAY
624,NEAR BAY
625,NEAR BAY
626,NEAR BAY
627,NEAR BAY
628,NEAR BAY
629,NEAR BAY
630,NEAR BAY
631,NEAR BAY
632,NEAR BAY
633,NEAR BAY
634,NEAR BAY
635,NEAR BAY
636,NEAR BAY
637,NEAR BAY
638,NEAR BAY
639,NEAR BAY
640,NEAR BAY
641,NEAR BAY
642,NEAR BAY
643,NEAR BAY
644,NEAR BAY
645,NEAR BAY
646,NEAR BAY
647,NEAR BAY
648,NEAR BAY
649,NEAR BAY
650,NEAR BAY
651,NEAR BAY
652,NEAR BAY
653,NEAR BAY
654,NEAR BAY
655,NEAR BAY
656,NEAR BAY
657,NEAR BAY
658,NEAR BAY
659,NEAR BAY
660,NEAR BAY
661,NEAR BAY
662,NEAR BAY
663,NEAR BAY
664,NEAR BAY
665,NEAR BAY
666,NEAR BAY
667,NEAR BAY
668,NEAR BAY
669,NEAR BAY
670,NEAR BAY
671,NEAR BAY
672,NEAR BAY
673,NEAR BAY
674,NEAR BAY
675,NEAR BAY
676,NEAR BAY
677,NEAR BAY
678,NEAR BAY
679,NEAR BAY
680,NEAR BAY
681,NEAR BAY
682,NEAR BAY
683,NEAR BAY
684,NEAR BAY
685,NEAR BAY
686,NEAR BAY
687,NEAR BAY
688,NEAR BAY
689,NEAR BAY
690,NEAR BAY
691,NEAR BAY
692,NEAR BAY
693,NEAR BAY
694,NEAR BAY
695,NEAR BAY
696,NEAR BAY
697,NEAR BAY
698,NEAR BAY
699,NEAR BAY
700,NEAR BAY
701,NEAR BAY
702,<1H OCEAN
703,NEAR BAY
704,NEAR BAY
705,NEAR BAY
706,NEAR BAY
707,NEAR BAY
708,NEAR BAY
709,NEAR BAY
710,NEAR BAY
711,NEAR BAY
712,NEAR BAY
713,NEAR BAY
714,NEAR BAY
715,NEAR BAY
716,NEAR BAY
717,NEAR BAY
718,NEAR BAY
719,NEAR BAY
720,NEAR BAY
721,NEAR BAY
722,NEAR BAY
723,NEAR BAY
724,NEAR BAY
725,NEAR BAY
726,NEAR BAY
727,NEAR BAY
728,NEAR BAY
729,NEAR BAY
730,NEAR BAY
731,NEAR BAY
732,NEAR BAY
733,NEAR BAY
734,NEAR BAY
735,NEAR BAY
736,NEAR BAY
737,NEAR BAY
738,NEAR BAY
739,NEAR BAY
740,NEAR BAY
741,NEAR BAY
742,NEAR BAY
743,NEAR BAY
744,NEAR BAY
745,NEAR BAY
746,NEAR BAY
747,NEAR BAY
748,NEAR BAY
749,NEAR BAY
750,NEAR BAY
751,NEAR BAY
752,NEAR BAY
753,NEAR BAY
754,NEAR BAY
755,NEAR BAY
756,NEAR BAY
757,NEAR BAY
758,NEAR BAY
759,NEAR BAY
760,NEAR BAY
761,NEAR BAY
762,NEAR BAY
763,NEAR BAY
764,NEAR BAY
765,NEAR BAY
766,NEAR BAY
767,NEAR BAY
768,NEAR BAY
769,NEAR BAY
770,NEAR BAY
771,NEAR BAY
772,NEAR BAY
773,NEAR BAY
774,NEAR BAY
775,NEAR BAY
776,NEAR BAY
777,NEAR BAY
778,NEAR BAY
779,NEAR BAY
780,NEAR BAY
781,NEAR BAY
782,NEAR BAY
783,NEAR BAY
784,NEAR BAY
785,NEAR BAY
786,NEAR BAY
787,NEAR BAY
788,NEAR BAY
789,NEAR BAY
790,NEAR BAY
791,NEAR BAY
792,NEAR BAY
793,NEAR BAY
794,NEAR BAY
795,NEAR BAY
796,NEAR BAY
797,NEAR BAY
798,NEAR BAY
799,NEAR BAY
800,NEAR BAY
801,NEAR BAY
802,NEAR BAY
803,NEAR BAY
804,NEAR BAY
805,NEAR BAY
806,NEAR BAY
807,NEAR BAY
808,NEAR BAY
809,NEAR BAY
810,NEAR BAY
811,NEAR BAY
812,NEAR BAY
813,NEAR BAY
814,NEAR BAY
815,NEAR BAY
816,NEAR BAY
817,NEAR BAY
818,NEAR BAY
819,NEAR BAY
820,NEAR BAY
821,NEAR BAY
822,NEAR BAY
823,NEAR BAY
824,NEAR BAY
825,NEAR BAY
826,NEAR BAY
827,NEAR BAY
828,NEAR BAY
829,NEAR BAY
830,NEAR BAY
831,<1H OCEAN
832,NEAR BAY
833,NEAR BAY
834,NEAR BAY
835,NEAR BAY
836,NEAR BAY
837,NEAR BAY
838,NEAR BAY
839,NEAR BAY
840,NEAR BAY
841,NEAR BAY
842,NEAR BAY
843,NEAR BAY
844,NEAR BAY
845,NEAR BAY
846,NEAR BAY
847,NEAR BAY
848,NEAR BAY
849,NEAR BAY
850,NEAR BAY
851,NEAR BAY
852,NEAR BAY
853,NEAR BAY
854,NEAR BAY
855,NEAR BAY
856,NEAR BAY
857,NEAR BAY
858,NEAR BAY
859,NEAR BAY
860,<1H OCEAN
861,<1H OCEAN
862,<1H OCEAN
863,<1H OCEAN
864,<1H OCEAN
865,NEAR BAY
866,NEAR BAY
867,NEAR BAY
868,NEAR BAY
869,NEAR BAY
870,NEAR BAY
871,<1H OCEAN
872,NEAR BAY
873,NEAR BAY
874,NEAR BAY
875,NEAR BAY
876,NEAR BAY
877,NEAR BAY
878,NEAR BAY
879,NEAR BAY
880,NEAR BAY
881,<1H OCEAN
882,<1H OCEAN
883,<1H OCEAN
884,<1H OCEAN
885,<1H OCEAN
886,<1H OCEAN
887,<1H OCEAN
888,<1H OCEAN
889,<1H OCEAN
890,<1H OCEAN
891,<1H OCEAN
892,<1H OCEAN
893,<1H OCEAN
894,<1H OCEAN
895,<1H OCEAN
896,<1H OCEAN
897,<1H OCEAN
898,<1H OCEAN
899,<1H OCEAN
900,<1H OCEAN
901,<1H OCEAN
902,<1H OCEAN
903,<1H OCEAN
904,<1H OCEAN
905,<1H OCEAN
906,<1H OCEAN
907,<1H OCEAN
908,<1H OCEAN
909,<1H OCEAN
910,NEAR BAY
911,<1H OCEAN
912,NEAR BAY
913,<1H OCEAN
914,NEAR BAY
915,<1H OCEAN
916,<1H OCEAN
917,<1H OCEAN
918,<1H OCEAN
919,<1H OCEAN
920,<1H OCEAN
921,<1H OCEAN
922,<1H OCEAN
923,<1H OCEAN
924,<1H OCEAN
925,<1H OCEAN
926,<1H OCEAN
927,<1H OCEAN
928,<1H OCEAN
929,NEAR BAY
930,NEAR BAY
931,NEAR BAY
932,NEAR BAY
933,NEAR BAY
934,NEAR BAY
935,NEAR BAY
936,NEAR BAY
937,NEAR BAY
938,NEAR BAY
939,NEAR BAY
940,NEAR BAY
941,NEAR BAY
942,NEAR BAY
943,NEAR BAY
944,NEAR BAY
945,NEAR BAY
946,<1H OCEAN
947,<1H OCEAN
948,<1H OCEAN
949,<1H OCEAN
950,<1H OCEAN
951,<1H OCEAN
952,<1H OCEAN
953,<1H OCEAN
954,<1H OCEAN
955,INLAND
956,<1H OCEAN
957,<1H OCEAN
958,INLAND
959,<1H OCEAN
960,<1H OCEAN
961,<1H OCEAN
962,<1H OCEAN
963,<1H OCEAN
964,<1H OCEAN
965,<1H OCEAN
966,INLAND
967,<1H OCEAN
968,INLAND
969,INLAND
970,INLAND
971,INLAND
972,<1H OCEAN
973,<1H OCEAN
974,INLAND
975,INLAND
976,INLAND
977,INLAND
978,INLAND
979,<1H OCEAN
980,INLAND
981,INLAND
982,INLAND
983,INLAND
984,INLAND
985,INLAND
986,INLAND
987,INLAND
988,INLAND
989,INLAND
990,<1H OCEAN
991,INLAND
992,INLAND
993,INLAND
994,INLAND
995,INLAND
996,INLAND
997,INLAND
998,INLAND
999,INLAND
1000,INLAND
1001,INLAND
1002,INLAND
1003,INLAND
1004,INLAND
1005,INLAND
1006,INLAND
1007,INLAND
1008,INLAND
1009,INLAND
1010,INLAND
1011,INLAND
1012,INLAND
1013,INLAND
1014,INLAND
1015,INLAND
1016,INLAND
1017,INLAND
1018,INLAND
1019,INLAND
1020,INLAND
1021,INLAND
1022,INLAND
1023,INLAND
1024,INLAND
1025,INLAND
1026,INLAND
1027,INLAND
1028,INLAND
1029,INLAND
1030,INLAND
1031,INLAND
1032,INLAND
1033,INLAND
1034,INLAND
1035,INLAND
1036,INLAND
1037,INLAND
1038,INLAND
1039,INLAND
1040,INLAND
1041,INLAND
1042,INLAND
1043,INLAND
1044,INLAND
1045,INLAND
1046,INLAND
1047,INLAND
1048,INLAND
1049,INLAND
1050,INLAND
1051,INLAND
1052,INLAND
1053,INLAND
1054,INLAND
1055,INLAND
1056,INLAND
1057,INLAND
1058,INLAND
1059,INLAND
1060,INLAND
1061,INLAND
1062,INLAND
1063,INLAND
1064,INLAND
1065,INLAND
1066,INLAND
1067,INLAND
1068,INLAND
1069,INLAND
1070,INLAND
1071,INLAND
1072,INLAND
1073,INLAND
1074,INLAND
1075,INLAND
1076,INLAND
1077,INLAND
1078,INLAND
1079,INLAND
1080,INLAND
1081,INLAND
1082,INLAND
1083,INLAND
1084,INLAND
1085,INLAND
1086,INLAND
1087,INLAND
1088,INLAND
1089,INLAND
1090,INLAND
1091,INLAND
1092,INLAND
1093,INLAND
1094,INLAND
1095,INLAND
1096,INLAND
1097,INLAND
1098,INLAND
1099,INLAND
1100,INLAND
1101,INLAND
1102,INLAND
1103,INLAND
1104,INLAND
1105,INLAND
1106,INLAND
1107,INLAND
1108,INLAND
1109,INLAND
1110,INLAND
1111,INLAND
1112,INLAND
1113,INLAND
1114,INLAND
1115,INLAND
1116,INLAND
1117,INLAND
1118,INLAND
1119,INLAND
1120,INLAND
1121,INLAND
1122,INLAND
1123,INLAND
1124,INLAND
1125,INLAND
1126,INLAND
1127,INLAND
1128,INLAND
1129,INLAND
1130,INLAND
1131,INLAND
1132,INLAND
1133,INLAND
1134,INLAND
1135,INLAND
1136,INLAND
1137,INLAND
1138,INLAND
1139,INLAND
1140,INLAND
1141,INLAND
1142,INLAND
1143,INLAND
1144,INLAND
1145,INLAND
1146,INLAND
1147,INLAND
1148,INLAND
1149,INLAND
1150,INLAND
1151,INLAND
1152,INLAND
1153,INLAND
1154,INLAND
1155,INLAND
1156,INLAND
1157,INLAND
1158,INLAND
1159,INLAND
1160,INLAND
1161,INLAND
1162,INLAND
1163,INLAND
1164,INLAND
1165,INLAND
1166,INLAND
1167,INLAND
1168,INLAND
1169,INLAND
1170,INLAND
1171,INLAND
1172,INLAND
1173,INLAND
1174,INLAND
1175,INLAND
1176,INLAND
1177,INLAND
1178,INLAND
1179,INLAND
1180,INLAND
1181,INLAND
1182,INLAND
1183,INLAND
1184,INLAND
1185,INLAND
1186,INLAND
1187,INLAND
1188,INLAND
1189,INLAND
1190,INLAND
1191,INLAND
1192,INLAND
1193,INLAND
1194,INLAND
1195,INLAND
1196,INLAND
1197,INLAND
1198,INLAND
1199,INLAND
1200,INLAND
1201,INLAND
1202,INLAND
1203,INLAND
1204,INLAND
1205,INLAND
1206,INLAND
1207,INLAND
1208,INLAND
1209,INLAND
1210,INLAND
1211,INLAND
1212,INLAND
1213,INLAND
1214,INLAND
1215,INLAND
1216,INLAND
1217,INLAND
1218,INLAND
1219,INLAND
1220,INLAND
1221,INLAND
1222,INLAND
1223,INLAND
1224,INLAND
1225,INLAND
1226,INLAND
1227,INLAND
1228,INLAND
1229,INLAND
1230,INLAND
1231,INLAND
1232,INLAND
1233,INLAND
1234,INLAND
1235,INLAND
1236,INLAND
1237,INLAND
1238,INLAND
1239,INLAND
1240,INLAND
1241,INLAND
1242,INLAND
1243,INLAND
1244,INLAND
1245,INLAND
1246,INLAND
1247,INLAND
1248,INLAND
1249,INLAND
1250,INLAND
1251,INLAND
1252,INLAND
1253,INLAND
1254,INLAND
1255,INLAND
1256,INLAND
1257,INLAND
1258,INLAND
1259,INLAND
1260,INLAND
1261,INLAND
1262,INLAND
1263,INLAND
1264,INLAND
1265,INLAND
1266,INLAND
1267,INLAND
1268,INLAND
1269,INLAND
1270,INLAND
1271,INLAND
1272,INLAND
1273,INLAND
1274,INLAND
1275,INLAND
1276,INLAND
1277,INLAND
1278,INLAND
1279,INLAND
1280,INLAND
1281,INLAND
1282,INLAND
1283,INLAND
1284,INLAND
1285,INLAND
1286,INLAND
1287,INLAND
1288,INLAND
1289,INLAND
1290,INLAND
1291,INLAND
1292,INLAND
1293,INLAND
1294,INLAND
1295,INLAND
1296,INLAND
1297,INLAND
1298,INLAND
1299,INLAND
1300,INLAND
1301,INLAND
1302,INLAND
1303,INLAND
1304,INLAND
1305,INLAND
1306,INLAND
1307,INLAND
1308,INLAND
1309,INLAND
1310,INLAND
1311,INLAND
1312,INLAND
1313,INLAND
1314,INLAND
1315,INLAND
1316,INLAND
1317,INLAND
1318,INLAND
1319,INLAND
1320,INLAND
1321,INLAND
1322,INLAND
1323,INLAND
1324,INLAND
1325,INLAND
1326,INLAND
1327,INLAND
1328,INLAND
1329,INLAND
1330,INLAND
1331,INLAND
1332,INLAND
1333,INLAND
1334,INLAND
1335,INLAND
1336,INLAND
1337,INLAND
1338,INLAND
1339,INLAND
1340,INLAND
1341,INLAND
1342,INLAND
1343,INLAND
1344,INLAND
1345,INLAND
1346,INLAND
1347,INLAND
1348,INLAND
1349,INLAND
1350,INLAND
1351,INLAND
1352,INLAND
1353,INLAND
1354,INLAND
1355,INLAND
1356,INLAND
1357,INLAND
1358,INLAND
1359,INLAND
1360,INLAND
1361,INLAND
1362,NEAR BAY
1363,INLAND
1364,NEAR BAY
1365,NEAR BAY
1366,NEAR BAY
1367,NEAR BAY
1368,NEAR BAY
1369,NEAR BAY
1370,NEAR BAY
1371,NEAR BAY
1372,NEAR BAY
1373,NEAR BAY
1374,NEAR BAY
1375,NEAR BAY
1376,NEAR BAY
1377,NEAR BAY
1378,NEAR BAY
1379,NEAR BAY
1380,NEAR BAY
1381,NEAR BAY
1382,NEAR BAY
1383,NEAR BAY
1384,NEAR BAY
1385,NEAR BAY
1386,NEAR BAY
1387,NEAR BAY
1388,NEAR BAY
1389,NEAR BAY
1390,NEAR BAY
1391,NEAR BAY
1392,NEAR BAY
1393,NEAR BAY
1394,NEAR BAY
1395,NEAR BAY
1396,NEAR BAY
1397,NEAR BAY
1398,NEAR BAY
1399,NEAR BAY
1400,NEAR BAY
1401,NEAR BAY
1402,NEAR BAY
1403,NEAR BAY
1404,NEAR BAY
1405,NEAR BAY
1406,NEAR BAY
1407,NEAR BAY
1408,NEAR BAY
1409,NEAR BAY
1410,NEAR BAY
1411,NEAR BAY
1412,NEAR BAY
1413,NEAR BAY
1414,NEAR BAY
1415,NEAR BAY
1416,NEAR BAY
1417,NEAR BAY
1418,NEAR BAY
1419,NEAR BAY
1420,NEAR BAY
1421,NEAR BAY
1422,NEAR BAY
1423,NEAR BAY
1424,NEAR BAY
1425,NEAR BAY
1426,NEAR BAY
1427,NEAR BAY
1428,NEAR BAY
1429,NEAR BAY
1430,NEAR BAY
1431,NEAR BAY
1432,NEAR BAY
1433,NEAR BAY
1434,NEAR BAY
1435,NEAR BAY
1436,NEAR BAY
1437,NEAR BAY
1438,INLAND
1439,INLAND
1440,NEAR BAY
1441,NEAR BAY
1442,NEAR BAY
1443,INLAND
1444,INLAND
1445,INLAND
1446,INLAND
1447,INLAND
1448,INLAND
1449,NEAR BAY
1450,NEAR BAY
1451,INLAND
1452,INLAND
1453,INLAND
1454,INLAND
1455,INLAND
1456,INLAND
1457,INLAND
1458,INLAND
1459,INLAND
1460,INLAND
1461,INLAND
1462,INLAND
1463,INLAND
1464,INLAND
1465,INLAND
1466,INLAND
1467,INLAND
1468,INLAND
